package,old,new,delta
prism,0.2.3,0.3.0,*
askpass,1.2.1,1.2.1,
bit,4.6.0,4.6.0,
bit64,4.6.0-1,4.6.0-1,
cli,3.6.5,3.6.5,
clipr,0.8.0,0.8.0,
cpp11,0.5.2,0.5.2,
crayon,1.5.3,1.5.3,
curl,7.0.0,7.0.0,
dplyr,1.1.4,1.1.4,
farver,2.1.2,2.1.2,
generics,0.1.4,0.1.4,
ggplot2,4.0.0,4.0.0,
glue,1.8.0,1.8.0,
gtable,0.3.6,0.3.6,
hms,1.1.4,1.1.4,
httr,1.4.7,1.4.7,
isoband,0.2.7,0.2.7,
jsonlite,2.0.0,2.0.0,
labeling,0.4.3,0.4.3,
lifecycle,1.0.4,1.0.4,
magrittr,2.0.4,2.0.4,
mime,0.13,0.13,
openssl,2.3.4,2.3.4,
pillar,1.11.1,1.11.1,
pkgconfig,2.0.3,2.0.3,
prettyunits,1.2.0,1.2.0,
progress,1.2.3,1.2.3,
R6,2.6.1,2.6.1,
raster,3.6-32,3.6-32,
RColorBrewer,1.1-3,1.1-3,
Rcpp,1.1.0,1.1.0,
readr,2.1.5,2.1.5,
rlang,1.1.6,1.1.6,
S7,0.2.0,0.2.0,
scales,1.4.0,1.4.0,
sp,2.2-0,2.2-0,
stringi,1.8.7,1.8.7,
stringr,1.6.0,1.6.0,
sys,3.4.3,3.4.3,
terra,1.8-80,1.8-80,
tibble,3.3.0,3.3.0,
tidyselect,1.2.1,1.2.1,
tzdb,0.5.0,0.5.0,
utf8,1.2.6,1.2.6,
vctrs,0.6.5,0.6.5,
viridisLite,0.4.2,0.4.2,
vroom,1.6.6,1.6.6,
withr,3.0.2,3.0.2,
